Luhya_Loogoli,Kiswahili
"57 Wesunda ku inze ku lidiku Lya nda kwanira, na wa mbolera, u ta Tia mba.","Ulikuja karibu nilipokuita, nawe ukasema, ?Usiogope."
"58 O Yahova, u Veri amakuva go mwoyo gwang, u tungiye livamwoyo lyange.","Ee Bwana, ulichukua shauri langu, ukaukomboa uhai wangu."
"59 O Yahova, u Loli likolerwa lidamano lyange, kalaga likuva lyange.","Umeona, EeÿBwana, ubaya niliotendewa. Tetea shauri langu!"
"60 Ive u Loli kisalya kyavo kyosi, na lisaavira lyavo lyosi Lya vasaviira ku inze.","Umeona kina cha kisasi chao, na maombi yao yote mabaya dhidi yangu."
"61 Wa hulira amanyego gavo, O Yahova, na lisaavira lyavo Lya vasaviira ku inze.","EeÿBwana, umesikia matukano yao, mashauri yao yote mabaya dhidi yangu."
"62 Minwa gya yavo avasingira ku kuya inze, na lisaavira lyavo ku inze mmbasu bei.",Kile adui zangu wanachonong?ona na kunung?unikia dhidi yangu mchana kutwa.
"63 Henza likala lyavo, ne lisingira lyavo, mbeye lwimbu lwavo.","Watazame! Wakiwa wameketi au wamesimama, nimekuwa kama wimbo kwao."
"64 U la ha tunga litunga, o Yahova, kuli miyinzi gya makono gavo.","Uwalipe kile wanachostahili, EeÿBwana, kwa yale ambayo mikono yao imetenda."
"65 U la va ha budinyu bwomwoyo, vilaamo vivyo kuvo!","Weka pazia juu ya mioyo yao, laana yako na iwe juu yao!"
"66 U la VA londerera nobutima, nokuvadividza va twule VA vuli kuva isi weligulu Lya Yahova.","Utawafutia kwa hasira, na kuwaangamiza wasiwe tena chini ya mbingu za Bwana."
I duki ndi kubwoya ithahabu indahi! Ithahabu isiyeku ligali igirunkani! Magina ga hatakatifu ha tebeywi ha kiheri kyenzira sa indala.,"Jinsi dhahabu ilivyoacha kung?aa, na dhahabu iliyo safi ilivyobadilika! Mawe ya patakatifu yametupwa mwanzo wa kila njia."
"2 Avana va Zioni avobuguli budinyu, Ava validzwa kulengana nethahabu isiyeku.","Wana w Sayuni  ni wenye thamani, Walinganao na dhahabu safi."
"Ga duka ndi va validzwa kuva viju vyobudohi, miyinzi gyo mukono gwomulongi.","Wanavyodhaniwa kuwa vyombo vya udongo, kazi ya mikono ya mfinyanzi."
"3 Kali vibwe vi twulidza tsimbeere, nokunyuunya avana vavyo.","Hata mbwa mwitu hutoa matiti, na kuwanyonyesha watoto wao."
"Mukana wa avandu vange u gwiye mudinyu, kuli maudo gomwigendanyama.","Binti ya watu wangu amekuwa mkali, mfano wa mbuni jangwani."
4 Lulimi lwendanya i nunanga lu handirani mu kikalakula kigira ubuluhu.,Ulimi wa mtoto anyonyaye wagandamana na kaakaa lake kwa sababu ya kiu.
"Avana vadoto va saavanga ubukima, na si ha veye nomundu u VA megeranga.","Watoto wachanga waomba chakula, wala hakuna hata mmoja awamegeaye."
5 Ava litsanga vigasu va lekeywi vengine ku Tsinzira tyelidala.,Wale waliokula vitu vya anasa wameachwa peke yao njiani.
Ava vikanga tsingubo tsinzakanyu va hambani nesina.,Wale waliokuzwa kuvaa nguo nyekundu wakumbatia jaa.
6 Ubudamano bwomukana wa avandu vange bu veye bunene kuvita ubwoni bwa sodoma.,Maana uovu wa binti ya watu wangu ni mkubwa kuliko dhambi ya Sodoma.
"Lya tungaminywa kuli mu idagika indala, si ha veye nomukono gu vikwa kuye.","Uliopinduliwa kama katika dakika moja, wala mikono haikuwekwa juu yake."
"7 Avanene veve va li avesiyeku kuvita likonza, Va li avalavu kuvita maveere.","Wakuu wake walikuwa safi kuliko theluji, walikuwa weupe kuliko maziwa."
Va li avakanyu mu Mibiri gyavo kuvita magina makanyu na lisiywa lyavo Lya li kuli isafiro.,"Miili yao, walikuwa wekundu kuliko majirani na umbo lao kama yakuti samawi."
"8 Ligondo lyavo li veye limwamu kuvita Amanda, si va manyekananga ku tsinzira.","Ngozi yao ni nyeusi kuliko makaa, hawajulikani katika njia kuu."
Ligodo lyavo li handi ku vigumba vyavo lyumi li gwiye kuli kisala.,Ngozi yao yagandamana na mifupa yao imekauka na kuwa kama mti.
9 Yavo aviitangwa nekivavi vaveye bulahi kuvita avenzala yitanga.,Heri wale waliouawa kwa upanga kuliko wao waliouawa kwa njaa.
Kigira va niaye va tumitwa hagati kigira lidaka Lya makuyu gemilimi.,"Maana hao husinyaa, wakichomwa kwa kukosa matunda ya mashamba."
10 Makono ga vakali avetsimbavasi ga deki avana vavo Avene.,Mikono ya wanawake wenye huruma imewatokosa watoto wao wenyewe.
Va li vyokulia vyavo mu badivi bwomukana wa avandu vange.,Walikuwa ndio chakula chao katika uharibifu wa binti ya watu wangu.
11 Yahova udukidzi ubutima bwibwe tsuki ubutima bwibwe bululu.,"Bwana amjawa na hasira, ameimimina hasira yake kali."
U fwani mulilu muzioni nagwo gusambi mise gyigye.,Naye amewasha moto katika Sayuni ulioteketeza misingi yake.
12 Avami velirova si va suuvira Kinga vosi ava menyanga mu lirova.,Wafalme wa dunia hawakusadiki wala wote wakaao duniani.
Mudambidzi na musigu nkano vakingira mu Viribwa vya Yerusalemi.,Ya kwamba mtesi na adui wangeingia katika malango ya Yerusalemu.
13 Ga veye kigira ubwoni bwa vaprofeti veve na budamano va vasalisi veve.,Ni kwa sababu ya dhambi za manabii wake na maovu ya makuhani wake.
Va tahidza masahi ga valungi hagati hehe.,Walioimwaga damu ya wenye haki katikati yao.
14 Va voyavoya kuli vaboku mu Tsinzira va vikenywi budamano vya masahi.,"Hutanga tanga njiani kama vipofu, wametiwa unajisi kwa damu."
Kuduka avandu si vanyala kudila tsingubo tsyavo.,Hata ikawa watu wasiweze kuyaguza mavazi yao.
"15 Mweyahule mu tsie Ni ndiyo va kupa lwanga, budamano Mweyahule mu ta dira mba.",Ondokeni msiguse uchafu.
Lwa viruka nokuvoyavoya avandu vya vola tsihiiri yitsyo si va menya yo Kandi kuli avageni.,"Walipoondoka na kurandaranda watu walisema kati ya mataifa, hawatakaa hapa tena."
16 Livihirirwa Lya Yahova li va sundi ihale si alavahenza Kandi mba.,"Hasira ya Bwana imewatenga, yeye hatawaangalia tena."
Vavula kwelidza ku liva lyavasalisi si va tovolannya ku vakulundu.,"Hawakujali nafsi za wale makuhani, Hawakuwaheshimu wazee wao."
17 Tsimoni tsyetu kuvuki kulihenza likonywa lyetu Lya vutswa.,Macho yetu yamechoka kwa kutazamia bure msaada wetu.
Mu lilindirira lyetu kulindiranga ihiri I ta nyala kuhonya.,Katika kungoja kwetu tumengojea taifa lisiloweza kutuokoa.
18 Va himanga tsinduvatiru tsyetu sikunyala kugenda ku tsinzira tsyetu.,Wanatuvizia hatua zetu hata hatuwezi kwenda katika njia zetu.
Kiheri kyetu kiveye himbi amadiku getu ga dukidzi livalidza lyago kigira keheri kyetu kiduki.,"Mwisho wetu umekaribia, siku zetu zimetimia maana mwisho wetu umefika."
19 Ava londereranga kwinye vali netsimbiru kuvita tsindidzu tsyomwigulu.,Waliotufuatia ni wepesi kuliko tai za mbinguni.
Vakukunga ku vigulu na va ku goneka mwigendanyama.,Walitufuatia milimani na walituotea jangwani.
20 Miyika gya umolo getu wa Yahova yamuvaka maguta yagumirwa mu bwongo bwavo.,Pumzi ya mianzi ya pua zetu Bwana alikamatwa katika marima yao.
Wakwa vola kuye kulamenya isi we kiriri kikye hagati he tsihiri.,Ambaye tulisema chini ya kivuli chake kuwa tutakaa kati ya mataifa.
"21 U yanze, u sangale, o Mukana was Edom umenya mu kivala Kya Uzu.","Furahi, ushangilie, Ee binti Edomu, ukaaye katika nchi ya Usi."
Kikombe kilavita kuduka ku ive ulahambika nokuenavula kuva kyahonyo.,Hata kwako kikombe kitapita na utalewa hata kuvua nguo ubaki uchi.
"22 Lihebwa mageli lyo budamano bubwo bu duki, O mukana wa Zioni si alakuhila Kandi mulyadikidzwa.","Uovu wako umetimia, Eee binti Sayuni, hatakuhamisha tena."
A ladza ku ubwoni bubwo omukana wa Edom alavambula ubwoni bubwo.,"Atapatiliza uovu wako, Ee binti Edomu atazivumbua dhambi zako."
Widzulitse o Yahova vya duka ku kwinye. Henza ulole linyegwa lyetu,Ee Bwana kumbuka yaliyotupata. Utazame na uone aibu yetu.
2 Miyandu gyetu gyi girunkannyiywi kutsya ku vageni.,Urithi wetu umegeuka kuwa mali ya wageni.
Tsinyumba tsyetu tsi veye tsya avandu vaandi.,Nyumba zetu zimekuwa za watu wengine.
3 Kuveye avabisandu ava ta lii  na vadada.,Tumekuwa yatima waliofiwa na baba.
Avakana vetu vaveye kuli avakunzakali.,Mama zetu wamekuwa kama wajane.
4 Ku nwedzanga amadzi getu ga kugulanga na ifetha.,Tunakunywa maji tununuayo kwa fedha.
Tsinku tsyetu ku gulidzangwa.,Kuni zetu twauziwa.
5 avaku londerera vyaveye ku magoti getu.,Wafuatiao wako juu ya shingo zetu.
Ku luhi si ku Lola bweleridzi mba.,Tumechoka hatuoni raha yoyote.
6 kuheye avaegepeti makono na avasura ku Duke kwiguta vyokulia.,Tumewapa hao Wamisri mkono na Waashuri nao ili tushibe chakula.
7 Avaguga vetu vakola ubwoni na sivaveyeho.,Babu zetu waliotenda dhambi hata hawako.
Na kwinye ku gingi budamano bwavo.,Nasi tumebeba maovu yao.
8 Avatumekiri vamehanga ku kwinye.,Watumwa wanatutawala.
Na si ha veye nomundu wokukuhonnya ku makono gavo.,Na hakuna mtu wa kutuponya mikononi mwao.
9 Ku nyolanga vyakulia vyetu kulidambidza livamwoyo lyetu.,Tunapata chakula kwa kuhangaisha nafsi zetu.
Kigira kivavi kyomwigendanyama.,Kwa sababu ya upanga wa nyikani.
10 Ligodo lyetu li veye limwamu kuli amahiga.,Ngozi yetu ni nyeusi kama meko.
Kigira uluya lwenzala lusambanga.,Kwa sababu ya njaa ituteketezao.
11 Vononnya vakali netsingulu muzioni.,Huwaharibu wanawake katika Sayuni.
Avakana vagima mu madala ga Yuda.,Na mabikira katika mji wa Yuda.
12 Avanene vasungwa kumukono gwavo.,Wakuu hutungikwa kwa mikono yao;
Mumoni mwa Avakulundu si mwidzominywa mba.,Nyuso za wazee hazipewi heshima.
13 Avoseli vaginga lugina na avana vekigitala netsingu.,Vijana huyachukua mawe na kusagia na watoto hujikwaa wakiwa na kuni.
14 Avakulundu va leka kutsia na kiribwa.,Wazee wameacha kwenda langoni.
Avasoleli vahonga kutsia kukina.,Vijana hawaendi kucheza.
15 Ubuyanzi bwo mwoyo getu bufweye.,Furaha ya mioyo yetu imekoma.
Uvukino bwetu bu girunkanyi luva lisyoma.,Michezo yetu imegeuka maombolezo.
16 Itaji yaguluki kutula ku mitwe gyetu.,Taji ya imeanguka kutoka kwa vichwa vyetu.
O bayaye ku kwinye! kigira ku koli ubwoni.,Ole wetu! Kwa kuwa tumetenda dhambi.
17 Kigira yaga muyoyo getu gi kudzi.,Kwa sababu ya haya mioyo yetu imezimia.
Kigira vindu yivi Tsimoni tsyetu tsi mwami.,Kwa ajili ya hayo macho yetu hayaoni vyema.
"18 Kigira kigulu Kya Zioni, yiki kyalekwa vutswa.",Kwa ajili ya mliza zayuni ulioachwa.
Vinywere vi tsitsanga yiyi na yiyi kukyo.,Mbweha hutembea juu yake huku na kule.
"19 Ive, o Yahova uhindiranga mihiga ne nemihiga.",Ewe Bwana unadumu milele.
Intebe yoyo iveye kutula ku makula na makula.,Kiti chako cha enzi ni tangu kizazi hata kizazi.
20 Kigiraki u kwiviranga madiku gosi.,Mona watusahau siku zote?
Nokukuleka inyinga yiyi intambi?,Na kutuacha kwa muda huu mwingi?
"21 U ku kirunkannye ku ive, o Yahova na kula girunkannywa.","Ee Bwana, utugeuze kwako, nasi tutageuka;"
Wiranye ubuhya ku madiku getu kuli ga matsiambiri,Zifanye siku zetu ziwe mpya kama siku za kale.
22 Navutswa u kusuye ligali u veye nobutima bunene ku kwinye.,Isipokuwa umetukataa kabisa; Una hasira nyingi sana juu yetu.
VAKALAGI,WAAMUZI
"4 24 4 Inyinga yeyo Debora,muprofeti, wowo?","Wakati huo Debora,nabii,wako?"
"Kunangwa Baraka ya sulu mukali wa Lapidothu, niye ya kala-nguta kutulwa mu kigulu kya Taboru, gira Israeli inyinga yeyo.","Ndiposa Baraka ya sulu mke wa Lapidothi ndiye aliyeamua kutoka juu mlima wa Taboru,sababu Israeli wakati huo."
Naye ya navandu tsielfu likumi va mu londa.menya isi welikindu lya Debora Hagati,Naye na watu elfu kumi wakamfuata. Hakuwa wa kabila la Debora katikati.
"15 Na Yahova ya salanya Sisera, na ha Rama ha Beth-eli  mu  kivali kye-magari  gege gosi,nelihe lilye lyosi, vigulu kya Efiraim:  Navana va Israeli nobwogi bwekivali imbiri   wa Baraka:  Vanegira kutsia ku Debora kukala- na Sisera yika ku ligari lilye,na girwa.","15 Na Mungu akawaachilia sisera na Rama kwa Beth-eli katika dunia ya magari yake yote.Na vita vya ke vyote, vilima vya Efraim watoto wa Israeli kwa makali ya upanga mbele ya Baraka: Wakapanda kwenda kwa Debora Kuamua na Sisera akashuka katika gari lake na akakimbi"
6 Naye ya tuma mundu ku-yiruka nevirenge,Naye alituma mtu akatoroka kwa miguu
"16 Navutswa Ba langa  Baraka mwana wa Abinoam ku-raka ya Londerera magari zana, twula Kedesh-nafitali, na a mbolera, nelihe, lilye, kuduka Haroshethu lya Yahova, Nyasaye wa Israeli,si ya Tsihiri; nelihe lyosi lya Sisera lyaya haana munwa,na a vola, Utsie ku yuwa nobwogi bwekivali: Si ha tigala kigulu kya Taboru,na u hile halala nomundu kali mulala.nive avandu tsielfu likumi tsyavana","Lakini waliita Baraka wa Abinoam kutimiza ndio akafuatilia magari yenyewe kutoka Kedeshnafitali,na akaniambia na vita vyake kufika Haroshethu ya Mungu, bwana wa Israeli si makabila ni vita vyote vya Sisera yenye alipeana ruhusa na akasema uende kilibaki kilima cha Taboru na upeleke pamoja na mtu hata mmoja wawe na watu elfu kumi za watoto."
17 Navutswa Sisera yiruka nevilenge va Nafitali na tsyavana va Zebuloni?,Lakini Sisera akakimbia kwa miguu ya Naftali na za watoto wa  Zebuloni?
Virenge vivye na a duka mu lihema lya,Miguu yake ilimfikisha kwa hema yake
"7 Na inze nda ku sundira, ha mugera Jaeli mukali wa Heberi Mukeni;gwa Kishon, Sisera,munene welihe kigira ha li nemirembe hagati ha lya Jabin, halala na magari gege nobu-Jabin mwami wa Hazoru,nenyumba nyingi bwavandu veve;nan da mu ya Heberi Mukeni.","Na mimi nakusongezea, nakumshtua Jaeli mke wa Heberi Mukeni; ya kishon, Sisera, mkubwa wa vita kwa sabasbu hakukuwa na amani kati ya Jabin pamoja na magari yake labda Jabin mkuu wa Hazuru, na nyumba nyingi za watu wake; nilmpa Heberi Mukeni."
18 Na Jaeli ya vika mmkono gugwo.,Na Jaeli aliweka mkono wako
"8 Na Baraka twula kuvugana na Sisera, naya mu ya volera mukali uyo, Ive nu u va nu volera, U girunkane, wingire, mwami utsia halala ninze, hene yahoo inze wange, u girunkane wingire ahange;ndatsia;navutswa ive nu u va nu uu ta tia kindu.","Na Baraka walipotoka kukutana na Siseri, na akamwambia bibi huyo, wewe kama unasema ubadilike uingie ,mkuu uende pamoja nami, hapo yu mimi kwangu, ubadilike uingie kwangu nitaenda lakini wewe kama utaogopa kitu"
"Naye ya girunkana ni vula kutsia ninze, inze si ndatsia mba.yingira ahehe mu lihema,naye ya mu, naye ya mu.",Na yeye alibadilika akakosa kuenda naye mmi sitaenda.Aliingia kwake kwa hema.Akafagia ndani .Naye akasema ukweli mimi ntaendapamoja nawe
"9 Naye ya vola, Ligali inze nda tsia huuma nengubo",Naye akasema ukweli mimi nitaenda pamoja nawe
"19 Naye ya mbo halala nive;navutwsa,ulugenda lwa lera, Mwadza,u mbe amadzi make u tsitsanga ku si lu ;la ku ha ubukumi;keke nwe; kigira mbeye nobuluhu.",Naye akamwambia pamoja nawe; lakini mwendo tafadhali nipe maji kidogo maana nina kiu
"Kigira ki yahova a la gulidza Sisera naye ya kunula ichupa ya amavere,nokumuvika mu mukono gwomukali",Kwa sababu Mungu atauza Sisera naye alifungua chupa ya maziwa na kumwekea kwa mkono wa mwanamke.
"Na a mu ha a nwe, ma ya mu huuma kunangwa Debora ya singira, na a kandi.",Na akampa akunywe ili Debora asimame na ingine.
"20 Naye ya mbolera, ive u tsia Kedesh halala na Baraka.","Naye akamwambia ,niende na Kedesh pamoja na Baraka"
"10 Na singire mu kiliango kyelihema, na ga Baraka ya vugannya halala avandula va ku vosi mundu ni yadza ku ive, va zebuloni na Naftali ya tsia nokukuteva, na a vola,  A yeye hano Kedesh;navandu tsielfu likumi vane-mundu ku vosi? Hene yahoo u la gira ha virenge vivye:na Debora tivula, Auwa, si a veye ho.","Na akasimama kwenye mlango wa hema ,na ya Baraka akakutanisha pamoja watukwa wote mtu akikuja kwako  Zebuloni na Nafitali alienda na kuuliza na akasema kwake hapo Kedeshi; na watu elfu kumi na wanne watu  wote? Wapi hapo utampata na mguu yake na Debora akasema hapana hamna"
21 Hene yanegira halala naye yahoo Jaeli mukali wa Heberi ya,Ndipo akapanda pamoja naye hapo Jaeli mke wa Heberi
"11 Na Heberi Mukeni yavukana vugula kivambo kilala, na a vugula kutwula ku vakeni, kali kutwula ku inyundu mmkono gwigwe,nay a tsia avana va Hobabu mukwasi wa Musa, kuye galaha, nay a mukupira kiva na yombaka lihema lilye ihale kuli ha mbo zana mu lunyanyiru, nakyo kya kereremu kya zaanaim, ki veye himbi vita buvu ni kingira hasi;kigira ya li",Hapo Jaeli bibi wa Heberi na Mukeni aliamka akachukua kigingi  kimoja na akachukua kutoka Vakeni hata kutoka kwa nyundo yake na akaenda na watoto wa Hobabu shemeji wa Musa kwake polepole na alimpiga silaha na akajenga hema yake ambayo iko mbali sana kwa jamzi
Mu tsindolo tsinene kigira ya luha;,Kwa usingizi mnono kwa sababu alichoka
"12 Na va volera Sisera,Baraka ma ya kudza.","Na akawaambia Sisera ,Baraka amekufa"
"22 Na, henza lwa mwana wa Abinoam u mali kwanegera Baraka ya londa Sisera, Jaeli ya tsia mkigulu","Nakaangalia, kama mtoto wa Abinoam amemaliza kukwea mlima.Baraka alifuata Siseria,Jaeli akaenda kwa  mlima wa Taboru"
"13 Kunangwa kuvugana  na  ya mu volera,  Sisera ya vungidza  magari gege gosi Hamba, nda ku mannya mundu wa halala , amagari tsimia tsitano na wenyangaa","Ndiposa washirikiane naye, alimwambia Sisera akaya kusanya magari yake yote njoo, ntakuonyesha mtu pamoja na magari elfu tano kama unataka"
"Naye ya tsia kuye;tsine angekivya,navandu vosi ava li henza,Sisera ya li na a goni ha zana halala naye, kutwula Haroshethu Iya  na a kudzi, -nikivambo kya li mu","Naye akaenda na watu wote wale watakao tizama, Sisera alikuwa amelala hapo pamoja naye kutoka Haroshethu alikuwa amefariki ?na kigingi kilikuemo"
"Tsihiri, kuduka ku mugera gwa tsinyanyiru tsitsye",Makabila kufika kwa mito ya vikulio vyake
Kishon.,Kishon
14 Na Debora ya volera,Na Debora akamwambia
"23 kunangwa Nyasaye ya guuta Baraka, Vuka ;kigira ku lidiku yili Jabin mwami wa Kanani imbiri wa Yahova u viki Sisera mmukono avana va Israeli ku lidiku yilyo, gugwo;Yahova si ya tsia imbiri |24 Na mukono gwavana va Israeli","24 Basi hivyo Mungu akamshinda Baraka, inuka maana siku hii Yabin Bwana wa Kanani mbele ya Mungu umueke Sisera kwa mkono watoto wa Israeli ili sik hiyo Mungu hakuenda mbele"
24 Na mkono wa bwana Israeli,Na mkono wa wana wa Israeli
"17 gwa li netsingulu ku Jabin mwami wa Mwinye avikalanga ku visero Kanani,kuduka iwa va dividza Nomwinye ava gendaga ku jabin mwami wa Kanani.",Ilikuwa na nguru kwa Jabin kiongozi wenu wanao keti kwenye ngozi Kanani kufika alikoteswa wanaotembea kwa Jabim mkuu wa Kanani
Inzira.,Njia
Hene yahoo Debora na Baraka,Hapo Debora na Baraka mbali na kelele za hao
11 Ilhale Ligali  ku lioga iya yava,Mbali na kelele za hao
"Mwana wa Abinoam vimba kuavalasanga mibano, ha va da lidiku yili, ni va vola, hanga amadzi,",Mtoto wa Abinoam aliimba akirusha visu siku hiyo na wakasema peana maji kwa sababu wakuu walitangulia katika
"2 Kigira avanene avimiri mi Israeli, Ha zaa va la landidza amakuva Kigira avandu ave haana avene gevikolwa vyobulungi vya Ya I nobulaliri,",Kkwa sababu wakuu walitangulia katika Israeli hapo wakaeneza ujumbe kwa sababu watu wako wapeane wenyewe matendo mazuri nay a kupendeza
"Hova, Mu gasidze Yahova",Mungu abariki Mungu
Vikolwa vyobulungi vyelyameha,Vitendo vya ukweli vitaongoza
"3 Mu hulire, Omwinye avami; mu lilye mu Israeli,",Sikieni enyi wafalme;sikieni Israeli
"Tegidze amatu ,O mwinye ava-Hene yahoo va Yahova va E nene;","Tegeni maskio enyi wakuu, watu wa Mungu wakuu"
"Sulunguta kuduka ha viribwa,",Teremka kufika kwa viribwa
"Inze, yee inze ,ndimbira Yahova;","Mimi ndiye mimi, namwimbia Mungu"
"12 Vuka, Debora; sig ! Inze ndimbira Yahova lidzomi-a vuka,vuka, wimbe Iwimbu;","Amka, amka, Debora; mimi na mwimbia Mungu namshukuru, amka, amka imba wimbo"
"Nywa, Nyasaye wa Israeli.","Kunywa, Mungu wa Israeli"
"Singira, Baraka, u hile avelilanya",Simama Baraka usikie
"4 Yahova, Iwa ive u twula mu Seiru ,lilyo , umwana wa Abinoam.Lwa u genda kutwula mu mulimi 13 Hene yahoo iya sulunguta litigala",4 Bwana ulipotoka katika Seiru yako wewe mtoto wa Abinoam. unapotembea kutoka kwa shamba
13 Hene yahoo iya sulunguta litigala,13 ndipo waliteremka mabaki
"Gwa Edom,",Ya Edomu
"Ivyanene navandu; Lirova iya degera, neligulu iya Yahova ya sulunguta kigira inze tonyatonya,ku vetsngulu",Ya wakuu na watu; nchi ilitetema mbingu ya Mungu iliteremka kwa sababu mimi nadondosha kwa wenye nguvu
"Yee, malesi ga tonya amadzi.","Yee, mbingu zilidondoza maji"
14 kutwula mu Efiraimu va sulunguta,kutoka Efraim walikeremka
"5 Vigulu vya degera imbiri wal avekitinya kyavo ki veye mu Yahova,",Milima ikayeyuka mbele yao kilicho kwa kwa Mungu
"Amaleki; yeye, kuduka Sinai zana kya degera Na Benjamini, a londanga hagati","Amaleki, yeye kufika Sinai kwenyewe kukatetemeka na Benjamini, anafuata katikati"
OIimbiri wa,Mbele ya
"Ha vandu vovo; Yahova, Nyasaye wa Israeli",Pa watu wako; Bwana Mungu wa Israeli
Kutwula Makiru avamehanga va,Kutoka makiru maliwali wa.
"Sulunguta,",Teremka
"6 Mu madiku ga Shamigari mwana Nokutwula Zebuloni, ava guni","6 katika siku za shamkari mtoto kutoka Zebuloni,amewashika."
Ranga impimbo yomung?ondi.,Ita fimbo ya mwandishi
"Mu madiku ga Jaeli, tsinzira","Kwa siku za Jaeli, njia"
"15 Avanene va iskari va li halala na tsinene tsya li bugura avandu,",15 Na wakuu wa Isakari walikuwa pamoja na vikuu kuchukuwa watu
"Debora; Na vagendi va genda ku tsinzira kuli ya li , Baraka a veye",Debora na watembezi walitembea kwa njia kama Isakari alivyo kuwa Bakari
1 tsya haluvega.,Za kando hiyo
Ndiyo;,Hivyo
"7 Avameha va gota  mu Israeli, Va | Va nyagula kwingira mwivona ha gota,","7 maliwali walikoma katika Israeli,walikimbia kuingia wakapotea"
Virenge vivye.,Miguu yake
Kuduka Iwa inze Debora nda,Kufika iwe mimi Debora nilipo
"Himbi ku migera gy Rubeni vuka,",Karibu na mito ya Rubeni amka.
"Lya li ho Lisaavira Ligali Lye Lwa inzenda vuka, mama mu myoyo.",Kulikuwepo na maombi kabisa vile mimi niliamka mama kwa roho
NYASAYE MUTAKATIFU,MUNGU MTAKATIFU
"Nyasaye Yahova, Umutakatifu,","Baba, mwana, Roho, Mungu mwenye enzi"
Inyinga yomugamba ku limbira lve:,"Kila tukiamka, tunakuabudu"
"lve, Yesu Roho, Mu veeye mulala","Baba, mwana, Roho, Mungu mwenye wa mapenzi"
"U gasidzeywi, Mutakuifu.","Ewe Utatu, tunakusifu"
"Nyasaye Yahova, Umutakatifu,","Baba, mwana, Roho, wakuaminio"
Voosi va sigame mbiri ntebe yo,Wanakutolea shukrani zao
"Tsingelosi voosi, va Ku sigamira,",Wakusujudia malaika nao
"Waali: nu veeho, nu U li va ho.","Wewe U mwanzo, nawe U mwisho"
Nyasaye Yahova. Umutakatifu.,"Baba, mwana, Roho, sisi tu gizani"
Vandu vadamano si va Ia ku lola:,Utukufu wako haoni mkosa
"U veeye Mwideeri, si ha Ii ho wundi,","U Mtakatifu, nawe U mapenzi"
"Mudukiru, kandi Wetsingulu.","U peke yako, mwenzio hauna"
"Nyasaye Yahova, Umutaktifu;","Baba, Mwana, Roho, Mungu Mwemye enzi"
"Vindu vya wa lomba vidzominye lve,",Ulivyoviumba vyote vyakusifu
"U veeye Munyali, kandi wobuyanzi","Baba, Mwana, Roho, Mungu Wa  wa mapenzi"
Wetsimbabasi ku ku gohanga.,"Ewe Utatu, tunakusifu"
YAHOVA MWAMI,BWANA MUNGU
"Yahova Mwami Nyasaye Munene,",Mungu Baba Mfalme mwenye enzi
U veeye netsingulu tsyosidza;,Mungu mwenye nguvu zote
"Wa lomba vindu vyosi kale, ive,",Mwumba wa viumbe vyote
Kandi wa lomba vandu voosi?ninze.,Ukatuumba sisi wanadamu ? hata nami
"Nyasaye; kase u lindanga vyosi,",Kila kiumbe chakutegemea
Tsimoni tsitsyo tsi molidza mba;,Watumulika kwa macho yako
U lola mmbasu nomukisundi kyosi;,Uko imar usiku na mchana
Nive u henza vandu voosi?ninze.,Unatuangalia sisi sote ? hata nami
"Nyasaye; wenya voosi va wa lomba,",Watutaka sisi wote eh Mungu
Si ha ye mundu u ta mwenya mba.,Hapana hata mmoja usiye mtaka
Vindu vilahi vyosi vya wa va ha;,umetupatia kila kitu kizuri
Ndola u yanza vandu voosi?ninze.,Wewe wampenda kila mtu ? hata nami
"Nyasaye; wa letera vandu voosi,",Eh Mungu: umemtuma mwanao
"U Mwana wowo, va ta kudza mba,",Yesu Kristo tTupate kuokolewa
A la va konya va mu suuvira;,Kila amwaminie apate kuokolewa
Yenya kukonya vandu voosi?ninze.,Yu tayari kuokoa wote ? hata nami
UDZE MWAMI MUNENE,NJOO MUNGU MKUU
"Udze Mwami Munene, Konya Kwimbe ku ive","Mungu baba njoo, twaimba sifa kwako"
"Kwidzominya, Dada wobukumi,","Twatukuza, baba mwenye enzi"
"Uguuti vyosidza, Udze ku kwameha Muhindiri.","Juu ya yote, njoo ututawale"
"Udze Ling?ana Yesu, Boha Kivavi Kikyo,","Tujaze neno lako, Yako silaha silaha tuvae"
U ku linde; Gasidza avandu,"Kaa nasi, takasa nyoyo zetu"
Kandi mang?ana go: Leta butakatifu ku voosi.,"zako habari njema, ulete utukufu kwa wote"
"Udze Roho Muhonyi, U Ia ku vuulikira","Njoo roho ya mwokozi, utufunukie"
"Nunundina, U Ii wetsingulu","Wewe uliye mweza, leo hata milele"
U kwamihe kwinye uta kuleka mba wobuyanzi,Tutawale siku zote kwa pedo llisilo pungua
"Kwenya kusigamira, Dada, Mwami, na Roho","Tutakusujudu, Baba, Mwana na Roho"
"Kwidzominya; Kwimbe ne mirembe,","Tuabudu, tuimbe, tukae kwa amani"
Mihiga gyosidza; Ku Ia lola bukumi mwigulu.,"Milele hata daima, utukufu wako tuuone."
YESU MWAMI WANGE,YESU MFALME WANGU
Nguyu Yesu Mwami wange Yikalanga ha mukono Umulungi gwa Nyasaye,Yesu Kristo tumwabudu Ni mtoto wake mungu Kiti chake cha enzi
